ID;parent_ID;title;hierarchyLevel;tenant
e6550668-9ad6-42b9-a4cb-333495447366;;610-IOT1302-DUMMY;0;d439e362-ecdf-4d78-8fed-86c7c639b131
3d41d497-cce2-4151-a52f-6f6a3dadeaaf;;611-IOT1303-Pflege-eigener-Systeme;0;d439e362-ecdf-4d78-8fed-86c7c639b131
316a0ab1-1db6-4577-a0aa-e959a1fbab88;;612-IOT1304-IT-Infrastruktur;0;d439e362-ecdf-4d78-8fed-86c7c639b131
fef48bab-d43e-4705-bc02-f1215bceac72;;631-EMS1301-Erweiterung-PLS;0;d439e362-ecdf-4d78-8fed-86c7c639b131
b3b10c0f-3b8f-46c5-aae1-ce5c4efc7d1c;;645-HER1301-Deponie-Hersfeld;0;d439e362-ecdf-4d78-8fed-86c7c639b131
3160c5e1-3199-4ff3-8baf-d56020183392;;656-IOT1403-Vertrieb;0;d439e362-ecdf-4d78-8fed-86c7c639b131
3dbeec91-44ab-4e24-a7f1-f62b73c6a9ef;;665-BSS1401-Fernuni-Hagen;0;d439e362-ecdf-4d78-8fed-86c7c639b131
4da2f478-fb76-44b0-8783-48ba0353f228;;690-MAN1501-Application-Management;0;d439e362-ecdf-4d78-8fed-86c7c639b131
2b8fb501-a4f7-4d29-bb01-c97b2237e775;;691-MAN1502-Operative-Projektunterstützung;0;d439e362-ecdf-4d78-8fed-86c7c639b131
3d8a610e-d476-4050-bed5-4cfcefcf3932;;692-IOT1504-Produktentwicklung;0;d439e362-ecdf-4d78-8fed-86c7c639b131
4f56432c-0c26-4514-bef0-793ad7af92eb;;693-IOT1506-CAR-Szenario-Arvato;0;d439e362-ecdf-4d78-8fed-86c7c639b131
41916f89-5d85-4f95-856d-7e956842cbf9;;694-IOT1505-Koordination;0;d439e362-ecdf-4d78-8fed-86c7c639b131
c8a169a9-f1e2-49fd-8a45-055ec0f69f0b;;701-FRA1503-Kleinstprojekte;0;d439e362-ecdf-4d78-8fed-86c7c639b131
9cbb4e6c-022e-48b3-919a-22c1b62ea668;;702-FRA1504-BW-AM;0;d439e362-ecdf-4d78-8fed-86c7c639b131
