ID;parent_ID;title;hierarchyLevel
3cd91a8e-8b90-4bbd-be5d-271ab79a80cd;;751-IAL701-Interne-Aufschreibung;0
24581658-8c50-4f6e-928a-1597a4385623;;752-IOT1702-Masterarbeit-Runte;0
1bff8d12-1f06-4cb4-bc32-81190d4ec5f0;;753-IAL1702-SAP-FIORI;0
267c6e89-6552-41b3-82fc-60e9d1823d65;;754-FRA1701-Dispo;0
7578eb1b-4540-4542-b72d-1e2bb5c95c1c;;755-FRA1702-Paypal;0
e80dc75f-7740-4638-8aa9-6a02fad43ef9;;756-FRA1703-Optimierung-Lieferbildung;0
561073b3-7dc1-4d0d-9126-b38a4dee7db7;;758-DRK1701-Support;0
0ab3ac65-ab46-456c-af82-b5698d9b1667;;759-FRA1704-ERP-AM;0
2cef4276-97a0-43a1-a5ce-6ade0aa16072;;760-FRA1705-ERP-Kleinstprojekte;0
7d79bbc0-8998-4a4c-a0db-b63039a977d0;;761-FRA1706-BW-AM;0
796a9004-2d6f-48c0-b65a-823e40a19f0c;;762-IOT1703-SAP-FIORI;0
f3f05917-cdff-4fb2-a9a1-b2ce322642cd;;763-SGU1701-Aktualisierung-Leittechnik;0
99e218de-afda-4cad-b1d7-acf77020fc3d;;764-FRA1707-LdZ-Support;0
dbc014f2-cb46-4d84-b88c-40190d2ae7b8;;765-FRA1708-Kasseneinführung-Phase-3;0
3dea7ecb-51bf-4c20-9b70-d854822007bb;;766-FRA1709-NWR-II-&-X-Waffe-(4412);0
bae753a7-18c5-448c-962f-6308d466fe36;;767-IOT1704-MULI-Redesign;0
9128b66c-b453-4bda-82a2-424001eabd32;;768-SKR1701-Support;0
3b0eb147-1fb6-44aa-bf24-7c9785c80872;;769-PIG1701-Energiemanagement;0
f125d52b-3248-4ab0-a2bb-849b95d16615;;770-MEN1701-Anpassung-Inventur;0
1c8bcfdb-172b-4120-9047-cca6be539254;;771-ACC1701-SW-Maadesiel;0
2d54613f-67c1-4964-b0ec-d43912406cc2;;772-MAN1701-OmniPOS;0
9fc7170a-50ef-4ad2-afd0-c979fc6d8c82;;773-FRA1710-ERP-Update;0
0d52da04-b5ff-49ad-9387-1c306f4fa05c;;774-CAS1701-Douglas-FIORI-(2016/0210);0
6bcc671a-d1eb-4e38-b610-1405e8abfbaa;;775-IOT1705-Bachelorarbeit-Kiedrowicz;0
a244c46e-be26-494b-959a-59382f9c0f47;;776-IOT1706-Bachelorarbeit-van-Gelder;0
a946a12a-3f1f-4427-a8f3-620921e7407c;;777-IOT1707-Bachelorarbeit-Rosezin;0
cd214a8b-3866-47c2-9eda-ad9d504908dc;;781-BSS1801-FOR-Highbay-Renewal;0
c454c81f-25fb-4b74-b374-acae4572b297;;794-FRA1805-14425:-S/4HANA;0
ab7b338d-c841-41da-b0ca-45e23ebca474;;800-INQ1901-FIORI;0
40f1bc96-6168-4be9-b89b-cfdc363f938e;;807-FRA1902-FR-Flilialpackplatz;0
4d297212-a6ff-4531-8da3-6dac8521c314;;810-FRA2001-ERP-AM;0
b249cdf2-0ad3-45b2-8137-43eb19ab03a6;;811-FRA2002-ERP-Kleinstprojekte;0
6cc09894-3f61-4577-a1e4-cb4f6780530b;;812-INQ2001-Wartung-&-Support;0
e9269771-98cb-4db3-9239-471de0a6e267;;815-IOT2002-Vertrieb;0
3b71b9ae-3a20-4a12-8025-14670c335ad2;;818-MEN2002-Rumänien;0
5a701e98-f023-4dd2-8b95-d6f65b06c2e7;;821-THA2001-FIORI;0
cab339c4-5610-4ca7-a69e-2d29704efab0;;823-CAS2001-Esprit-FSS-technische-Portierung-(2020/0088);0
dad73c6a-2159-45b1-bb96-22ff42c16b52;;824-CAS2002-Tchibo;0
785a57eb-dd09-4d77-b892-681000f72f51;;825-MEN2004-Wartung;0
bc9922c2-d9ee-44af-988b-89db7aefc6f5;;827-CAS2003-Esprit-FSS-Rollout;0
fd81467d-0c40-48eb-ac0b-d699ac2cb837;;"829-CAS-2004-	Shipping,-Aviation,-Rail-(SAR)-@-HCOB";0
e81c74d0-5f99-4060-945b-950e814bb7a8;;"830-CON-2001-	Receipt4S-goes-Fiori";0
ebc36a27-a156-414b-8458-c3a2a3982af3;;831-FRA2005-19806-SAP-Formulare-und-eMails;0
8bdbca01-11dc-430d-b263-ce8573cf4867;;832-MEN2005-Welschen-Ennest;0
9bfa67d7-a439-4efd-b51e-ba801978efcf;;833-IOT2004-Bachelor-Witt;0
b4c65ba5-aba0-4339-bb3d-08a48bc3598b;;834-MEN2006-WE-M7-Gewährleistung;0
13836e5f-db2e-4f6c-b7a1-699a92a76912;;835-IOT2101-Interne-Aufschreibung;0
c146e817-5e55-4022-95af-52aff0e0e115;;836-MAN2101-Application-Management;0
fbb670c9-215e-49a6-a9b7-1c3535febc84;;837-MAN2102-Kleinstprojekte;0
6b884d2e-e149-454a-bbfd-60729c2c417e;;839-CAS2102-GDC;0
6a234d14-fc44-4f6a-86e7-30c7c345c212;;840-KEB2101-Fiori-Readiness-Check;0
013cea7a-9b20-4d5f-bf84-574dc82705d6;;841-CAS2103-Debitel;0
6db4d648-e312-4b9d-9a73-366c7b33a2b6;;842-IOT2102-Bachelorarbeit-Meigui;0
17ff0ee3-2d93-4e0c-8e68-8874b9e1bc61;;843-IOT2103-Bachelorarbeit-Tcheuffa;0
b131c7d0-d7b5-4587-a3f2-c2756ab0ca84;;844-WSW2101-Einführung-SAP-Fiori;0
6bede6f2-f0ba-4e67-b0d7-11f00c815b4a;;845-KEB2102-Fiori-Repair-Documentation-Framework;0
af0c51f4-28a0-48f3-ae5a-0c1bae6063f6;;848-VON2101-Handwerkerkopplung-2.0;0
d1976126-2e5c-4c8e-9ed1-fbf4c565335d;;850-CAS2105-Fiori-Readiness-Check;0
99080dc9-ed90-4da2-84f0-7febfd60b1f3;;851-GDC2101-GDC-Projektunterstützung;0
2ac461e6-f9e6-496c-8690-16c284d3b47b;;852-THA2101-aATP;0
81b8e722-2779-4069-b8d1-23f21a1086a6;;853-FRA2101-Werkstattprozesse;0
0bbd99b1-fd46-463a-bc31-fa3b1f2bb030;;854-IOT2104-Bachelorarbeit-Günther;0
6b5d50a3-cd20-4c6e-b80c-dc813c963276;;855-GEP-2021-01-DOEHLER;0
2c263b20-e122-41fe-9491-07049c01d1ac;;856-DMK2101-EWM-Coaching;0
14a9e969-724c-4e66-addc-b8c0d56f82c4;;857-CAS2106-HCOB-Fiori-S/4-Migration;0
95295fe6-137a-4c0c-bc28-431f07edf595;;858-DMK2102-Unterstützung-Projekt-072021;0
b4577da3-5492-4b81-a217-a51a52701847;;859-CAS2107-ISS (2021/0178);0
eed961b2-05b3-4135-b6e1-31420bcc0e10;;860-ALD2101-Betriebs-und-Projektunterstützung;0
6a47b915-ac5e-4478-82aa-4cbcbae37c1b;;861-DMK2102-Edewecht-WE-RF-Erweiterung;0
