ID;parent_ID;title;shallowReference;validFrom;validTo;hierarchyLevel;tenant;mappingID
73848966-77fc-5af1-a762-d09f78e7320b;288d547f-d16d-6df5-13c3-17de3f11c50d;Sichtbarkeit Marktplatzaufträge;30387;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30387 Sichtbarkeit Marktplatzaufträge
2c49b6e0-a5d3-5bdf-d302-e98627478fe4;288d547f-d16d-6df5-13c3-17de3f11c50d;Bildung bei Aufträgen;30390;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30390 eBay.de: Liefergruppen-Bildung bei Aufträgen
47f48889-a041-7d14-f542-3f597246b102;288d547f-d16d-6df5-13c3-17de3f11c50d;Zahlungseingangsverbuchung Zalando via Avis;30392;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30392 Zahlungseingangsverbuchung Zalando via Avis
43a13653-76fb-db22-caaa-9225eb86c44e;288d547f-d16d-6df5-13c3-17de3f11c50d;Rucksackversand;30398;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30398 Fallbackprozess JJ-Rucksackversand
532ac090-c64f-4db6-0d3c-5f5f22c0f6b5;288d547f-d16d-6df5-13c3-17de3f11c50d;Fiori fehler_ keine Kundendaten bei Banf;30403;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30403 Fiori fehler_ keine Kundendaten bei Banf
022bb1a8-9202-0025-4b0e-5570c81c3a9b;288d547f-d16d-6df5-13c3-17de3f11c50d;Probleme bei der Auftragsanlage bzw. bei der Erfassung;30411;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30411 Probleme bei der Auftragsanlage bzw. bei der Erfassung
1a56e2df-c5fb-4cf0-6da6-40112ac28b6b;288d547f-d16d-6df5-13c3-17de3f11c50d;Fiori_Fehler abweichende Lieferadresse;30416;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30416 Fiori_Fehler abweichende Lieferadresse
27f48f05-0309-d343-4efa-693814d6562e;288d547f-d16d-6df5-13c3-17de3f11c50d;ID pflegen;30428;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30428 Auctronia: Umsatzsteuer-ID pflegen
9908754a-e6bd-3675-94cf-7cec325da416;288d547f-d16d-6df5-13c3-17de3f11c50d;Sicherheitsbestand Großhandel;30503;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30503 Sicherheitsbestand Großhandel
0349dc70-5ff2-4769-968a-76d12019e6f6;288d547f-d16d-6df5-13c3-17de3f11c50d; Pflichtfeld;30512;2010-01-01T00:00:00.000Z;9999-01-01T00:00:00.000Z;1;d439e362-ecdf-4d78-8fed-86c7c639b131;30512 Null-Nali KZ - Pflichtfeld
